player,"bid_price(dollar,mil)",value_points19
MS Dhoni,2.1,118.20
HH Pandya,1.5,112.16
RA Jadeja,0.9814,102.83
AD Russell,0.9814,99.16
RR Pant,1.1,90.03
S Gopal,0.02804,85.75
JM Bairstow,0.30844,85.62
Q de Kock,0.39256,85.26
Imran Tahir,0.1402,82.50
K Rabada,0.58884,82.16
DA Warner,1.7,81.70
KL Rahul,0.5,78.90
JC Archer,1,76.00
F du Plessis,0.22432,73.50
AR Patel,0.714285,73.33
MK Pandey,1.4,68.00
MP Stoinis,0.885714,67.75
Rashid Khan,1.3,66.80
AB de Villiers,1.5,66.70
KH Pandya,1.2,66.63
JC Buttler,0.6168,66.37
DL Chahar,0.11216,63.50
R Ashwin,1.1,63.40
SA Yadav,0.44864,62.61
KA Pollard,0.75708,62.37
Mohammad Nabi,0.1402,61.66
Mohammed Shami,0.67296,61.00
DJ Bravo,0.897,61.00
SM Curran,1.02,58.75
SS Iyer,0.9814,58.36
Shubman Gill,0.25236,57.88
KD Karthik,1,56.62
Mandeep Singh,0.19628,56.25
YS Chahal,0.8412,55.50
JJ Bumrah,0.9814,55.00
SPD Smith,1.7,54.87
S Dhawan,0.72904,54.73
R Parag,0.2804,54.50
N Rana,0.47668,54.40
R Tewatia,0.42,53.50
Harbhajan Singh,0.2804,53.50
V Kohli,2.4,53.14
V Shankar,0.44864,52.83
AM Rahane,0.74,52.75
MM Ali,0.23834,52.50
MJ Santner,0.0701,52.00
SV Samson,1.1,51.70
DA Miller,0.428571,51.62
PP Chawla,0.6,51.50